Norm	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11
OTU_1	0.343	0.226	0.221	0.584	0.544	0.581	0.541	0.596	0.561	0.632	0.566	0.55	0.668	0.676	0.637	0.644	0.549	0.6	0.491	0.429	0.562	0.564	0.598
OTU_2	0.196	0.152	0.114	0.376	0.353	0.349	0.361	0.344	0.317	0.355	0.408	0.411	0.279	0.318	0.232	0.286	0.245	0.253	0.217	0.167	0.217	0.214	0.299
OTU_4	0.162	0.133	0.103	0.00739	0	0.00217	0.00777	0.00144	0.00924	0.000801	0.00509	0.000949	0.000753	0.00199	0.000751	0.0184	0.0206	0.0242	0.0568	0	0.0011	0.00108	0.038
OTU_7	0.0196	0.00117	0.00127	0.00306	0.000358	0.00046	0	0.00398	0.00238	0	0	0.00188	0.00168	0	0.0172	0.00336	0.00603	0	0.0281	0.0298	0.0431	0.0418	0.00181
OTU_8	0.0193	0.000717	0.00184	0	0.00343	0.00903	0.00295	0.000508	0.00766	0	0.00121	0.00228	0.00484	0	0	0	0.0205	0	0.00224	0.111	0.00137	0.00192	0
OTU_9	0.0165	0.00799	0.0156	0.000264	0.0101	0.00682	0.00588	0.00499	0.0103	0.000627	0.00149	0.00129	0.00255	0.000152	0.00631	0	0.0164	0.00163	0.0165	0.0247	0.0163	0.0138	0
OTU_24	0.0161	0.00235	0.00129	0	0	0	0	0	0.000214	0	0	0	0	0	0	0	0.00994	0	0	0.00161	0	0	0
OTU_6	0.0148	0.167	0.133	0	0	0	0	0.000169	0	0	0	0	0	0	0	0	0.000343	0	0	0	0	0	0
OTU_10	0.0148	0.00183	0.00228	0.00882	0.00243	0.00385	0.0039	0.00592	0.00359	0.000627	0.000131	0.00125	0.00235	0.000202	0.00128	0.0178	0.0106	0.0402	0.0101	0.0124	0.00516	0.00463	0.0221
OTU_20	0.013	0.018	0.0174	0	0.00141	0.00046	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0.000873	0.000418	0
OTU_15	0.0122	0.000717	0.00399	0	0.00122	0.00606	0.00115	0	0.00228	0	0.000788	0.00214	0.00223	0	0	0	0.00898	0	0	0.0476	0.00171	0.00146	0
OTU_12	0.0119	0.00724	0.0101	0	0.00813	0.00456	0.00479	0.00254	0.00721	0.000374	0.00123	0.00135	0.000666	0	0.0011	0	0.00713	0	0.00891	0.00974	0.00744	0.00742	0
OTU_16	0.0119	0.000456	0.000578	0.0019	0	0.000209	0.000459	0.00284	0.00161	0	0	0.000828	0.000203	0	0.00797	0.000463	0.00103	0	0.0107	0.0114	0.0193	0.0171	0
OTU_11	0.0114	0.000522	0.000633	0.0066	0.0021	0.00372	0.00419	0.00478	0.0023	0.000347	0.000117	0.000727	0.00104	0.000152	0.000773	0.0114	0.00713	0.0372	0.00606	0.0066	0.00342	0.00515	0.0114
OTU_39	0.00978	0.00013	0.000248	0	0.000119	0.000753	0	0	0.000134	0	0	0	0	0	0	0	0.00048	0.00163	0	0.00046	0	0.000139	0
OTU_13	0.00917	0.000391	0.0011	0.00623	0.00179	0.00305	0.00298	0.00368	0.00228	0.000307	0.000117	0.000727	0.000869	0	0.000684	0.00973	0.00432	0.0242	0.00333	0.00453	0.00239	0.00216	0.0116
OTU_49	0.00877	0	0	0	0	0.000293	0	0	0.000268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18	0.00836	0	0.00011	0	0	0.000334	0	0.00127	0.00067	0.000387	0	0	0	0	8.83E-05	0.00197	0.000411	0	0.0389	0.00414	0.00566	0.00634	0.00125
OTU_45	0.00836	0	0.000138	0	0	0	0	0.000212	0.000295	0	0	0	0	0	0	0	0.00164	0	0.000242	0	0	0	0
OTU_52	0.00627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302	0	0	0	0	0	0
OTU_33	0.00614	0.00489	0.00589	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000274	0	0	0	0	0	0
OTU_92	0.00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54	0.00337	0	0.00022	0.000792	0	0	0.000201	0	0.000188	0	0	8.08E-05	0.000116	0	0.00011	0	0	0	0	0	0.00266	0.0015	0
OTU_106	0.00331	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0
OTU_21	0.00324	0.00111	0.00033	0	0.00231	0.00121	0.00353	0.000169	0.000911	0	0.000657	0.00172	0.000695	6.75E-05	0.000486	0	0.00576	0.00163	0.00394	0.00683	0.00562	0.00913	0
OTU_14	0.00236	0.000489	0.0027	0.00111	0.000572	0.00167	0.00169	0.00148	0.00238	0.00342	0.000452	0.000182	0.0013	0.000523	0.0209	0.00452	0.00281	0.00392	0.00327	0.00821	0.0151	0.0133	0.00251
OTU_27	0.00236	0.000326	0.000193	0.00116	0.000572	0.000502	0.000459	0.000677	0.000241	0	0	0	0.000492	0	0.000132	0.00255	0.00151	0.00522	0.00127	0.00176	0.000646	0.000627	0.00195
OTU_41	0.00229	0	0.000413	0	0.000286	0.000167	0.000229	0.000508	0.00182	0	0.000204	0	0	0	0.00119	0	0.00117	0	0	0.00307	0.00057	0.00129	0
OTU_142	0.00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	0.00209	0.16	0.204	0	0.00196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_127	0.00196	0.000261	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_84	0.00182	0	0	0	0.000787	0.000167	0.000201	0	0.000188	0	7.30E-05	0	0	0	0	0	0	0	0	0.00138	0.000152	0	0
OTU_37	0.00175	0	0	0	0.000739	0.000209	0.0014	0	0.000268	0	0	0	0	0	0.000949	0	0.00267	0	0.000242	0.0023	0.00137	0.00366	0
OTU_143	0.00175	0	0	0	0.000429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_161	0.00175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0.00169	0.012	0.013	0	0.00162	0.00117	0.000344	0	0.00115	0	0	0.00749	0.0086	0	0.00159	0	0	0	0.00152	0.00269	0.000494	0.000662	0
OTU_168	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22	0.00155	0	0.00138	0	0.00172	0	0.00103	0.00114	0.00217	0	0	0	0	0	0.000442	0	0.00322	0	0.00952	0.011	0.00387	0.00334	0
OTU_146	0.00142	0	0	0	0.000119	0	0.000115	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0.000228	0.000174	0
OTU_29	0.00128	0.00013	0.00044	0	0.000405	0	0.000287	0.000508	0.000482	0	5.84E-05	0	0	0	0.000243	0	0.00164	0	0.00443	0.00552	0.00387	0.00279	0
OTU_82	0.00128	0	0.000138	0	0.000239	0	0.000373	0.000465	0.000241	0	5.84E-05	8.08E-05	0.000232	6.75E-05	8.83E-05	0	0	0	0	0.000921	0.00019	0.000522	0
OTU_183	0.00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0
OTU_192	0.00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	0.00121	0.0043	0.00556	0	0.000668	0.001	0.000573	0	0.00238	0	0.000161	0.000889	0.000927	0	0	0	0.00247	0	0.000242	0.0128	0.000152	0.000209	0.00209
OTU_28	0.00121	0.0149	0.00617	0.000317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_140	0.00108	0	0.00011	0	0.000262	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000303	0.000307	0.00019	0	0
OTU_100	0.00101	0	0	0	0	0	0	0	0.000482	0	5.84E-05	0	0	0	0	0	0	0	0.00212	0	0	0	0
OTU_43	0.000944	0	0.000716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592	0.00481	0
OTU_67	0.000944	0	0	0	9.54E-05	0	0	0.000212	0.000214	0	0	0	0	0	0.00011	0	0	0	0.00242	0.00253	0	0.000522	0
OTU_104	0.000944	0	0	0	0.000787	0.00105	0	0	0	0	0.000117	0	0.000116	0	0	0	0	0	0	0.000384	0	0.000139	0
OTU_239	0.000944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_203	0.000877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000313	0
OTU_223	0.000877	0	0	0	0	0	0	0	0.000188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0.000742	0	0	0	0.000501	0	0	0	0	0	0	0	0	0	8.83E-05	0	0	0	0.0023	0	0	0	0
OTU_30	0.000674	0	0.000385	0	0.000978	0	0.000229	0	0.000402	0	0	0	0	0	0	0	0	0	0	0.000691	0.00763	0.00759	0
OTU_128	0.000674	0	0	0	0	0	0.000803	0.000169	0.000161	5.34E-05	0	0	0	0	8.83E-05	0	0	0	0	0.000307	0.000152	0.000244	0
OTU_172	0.000674	0	0	0	0	0	0.000115	0.000169	0	0	0	0	0	0	0	0	0	0	0.000242	0.000384	0	0	0
OTU_254	0.000674	0	0	0	0	0	0	0	0	0	0	0	0.000174	0	0	0	0	0	0	0	0	0	0
OTU_288	0.000674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_73	0.000607	0	0	0	0.000239	0	0	0.00279	0.000777	6.68E-05	0	0	0	0	0	0	0	0	0	0.000767	0.000266	0.000279	0
OTU_122	0.000607	0	0.00033	0	0	0	0.000287	0	0.000348	0	0	0	0	0	0.00011	0	0	0	0	0.000614	0.000228	0.000279	0
OTU_136	0.000607	0.00013	0.000523	0	0.000191	0.000502	0	0	0.000348	0	0	0	0	0	8.83E-05	0	0	0	0	0	0	0	0
OTU_245	0.000607	0	0.000193	0	0	0	0	0	0	0	7.30E-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_308	0.000607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35	0.00054	0.0014	0.00245	0	0.000215	0	0	0	0	0	0	0.000343	0.000492	0	0.000155	0	0	0	0.011	0	0.000152	0.000174	0
OTU_50	0.00054	0	0	0	9.54E-05	0.000293	0.000373	0.000212	0.000563	0	8.76E-05	0.000162	0.000724	0	0.000177	0	0	0	0.00158	0.000307	0.00205	0.00216	0
OTU_326	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25	0.000472	0.00874	0.00831	0	0.000716	0.000627	0	0	0.000482	0	7.30E-05	0.00481	0.00255	0	0.000353	0	0	0	0.000364	0.000844	0.000152	0.000174	0
OTU_222	0.000472	0	0	0	0.000358	0	0	0	0.000241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_345	0.000472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17	0.000405	0.0377	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_89	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000419	0	0.000343	0	0	0.00276	0.00019	0.000209	0
OTU_137	0.000405	0.00013	0.000468	0	0	0	0	0	0.00131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_224	0.000405	0	0	0	0	0	0	0.000635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_233	0.000405	0	0	0	0.000215	0	0	0	0.000134	0	0	0	0	0	0	0	0	0	0.000242	0	0	0	0
OTU_304	0.000405	0	0	0	0	0	0	0	0.000107	0	0	0	0.000116	0	0	0	0	0	0	0	0	0	0
OTU_317	0.000405	0	0.000165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_325	0.000405	0	0.000138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_374	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_375	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_376	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_377	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_378	0.000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0.000337	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0.00169	0.00038	0	0
OTU_214	0.000337	0.000359	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_236	0.000337	0	0.00011	0	9.54E-05	0	0	0	0.000322	0	0	0	0	0	8.83E-05	0	0	0	0	0	0	0	0
OTU_294	0.000337	0	0	0	0	0	0	0	0.000214	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0
OTU_336	0.000337	0	0	0	0	0.000167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_399	0.000337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_400	0.000337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_401	0.000337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_402	0.000337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0.00027	0	0	0	9.54E-05	0	0	0	0	0	0.00147	0.00119	0.00313	0	0.00605	0	0.00596	0	0	0	0	0	0
OTU_48	0.00027	0.00013	0.00033	0	0	0	0.00892	0	0.000214	0	0	0	0	0	0	0	0	0	0	0	0.000152	0	0
OTU_51	0.00027	0.000391	0.00102	0	0.000787	0.00046	0.000115	0.000592	0.000991	0	0	8.08E-05	0.000116	0	0	0	0.000548	0	0.000242	0.000691	0.0019	0.00111	0
OTU_68	0.00027	0	0.00105	0	0.000477	0.00046	0.00043	0.000465	0.00147	0	0.000277	0	0.000116	0	0	0	0.000274	0	0	0	0.000684	0.000731	0
OTU_91	0.00027	0	0	0	0	0	0.000115	0	0	0	0	0	0	0	0.00011	0	0.000274	0.00131	0.00152	0.000307	0	0.000174	0
OTU_162	0.00027	0	0	0	0.00107	0	0	0.000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_167	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0.000209	0
OTU_188	0.00027	0	0.00011	0	0	0	0	0	0.000107	0	0.000263	0.000121	0	0	0	0	0	0	0	0.00046	0	0	0
OTU_200	0.00027	0	0.000303	0	9.54E-05	0	0	0.000423	0.000134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_258	0.00027	0	0.000358	0	0	0	0	0.000169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_262	0.00027	0	0	0	0	0.000167	0	0.000169	0.000188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_274	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000303	0	0.000152	0	0
OTU_279	0.00027	0	0	0	9.54E-05	0.000209	0	0	0	0	0.000131	0	0	0	0	0	0	0	0	0	0	0	0
OTU_292	0.00027	0	0	0	0	0.000167	0.000229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_297	0.00027	0	0.000138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244	0
